Lat,Lon,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
60N,149W,1957,123,27,17,3,-8,-5,-3,-2,-5,1,43,43
60N,149W,1958,35,-116,34,6,4,7,2,-10,4,-14,33,-39
60N,149W,1959,-210,74,-55,7,-2,-5,3,-1,0,-5,7,64
60N,149W,1960,90,36,-98,-6,-2,-6,-3,-1,5,-3,-3,56
60N,149W,1961,24,-27,-56,7,-3,-9,1,2,15,14,18,-83
60N,149W,1962,8,64,23,-33,0,-1,-4,4,-1,11,-52,-46
60N,149W,1963,94,-86,36,11,-1,19,11,17,-25,-24,-131,3
60N,149W,1964,2,69,-16,12,-5,-2,-2,-6,1,13,-7,-100
60N,149W,1965,-47,-15,42,5,7,7,-6,1,30,-50,12,33
60N,149W,1966,-143,67,-84,8,13,6,5,-1,-8,17,20,-98
60N,149W,1967,-27,8,17,17,0,11,2,6,-20,1,70,62
60N,149W,1968,0,-32,5,11,0,-6,-5,-6,-9,-1,-6,-29
60N,149W,1969,-17,0,30,-10,0,4,3,-5,-8,-20,-12,-30
60N,149W,1970,-73,2,23,12,-1,2,0,1,-4,2,-9,-13
60N,149W,1971,-186,22,-53,0,0,1,3,-5,1,24,7,84
60N,149W,1972,40,-166,-47,0,0,4,-3,-2,3,21,25,9
60N,149W,1973,6,2,41,6,-13,-2,3,3,-1,6,2,5
60N,149W,1974,-4,-94,-16,-2,0,-1,6,-3,-8,-6,32,59
60N,149W,1975,53,20,26,9,-6,2,-4,-5,6,-10,-46,12
60N,149W,1976,53,-5,36,-4,-2,-2,-4,-6,-14,14,5,15
60N,149W,1977,47,4,33,7,3,-3,-5,-4,10,-14,3,-8
60N,149W,1978,18,-55,1,7,-3,26,3,-3,-1,16,48,96
60N,149W,1979,71,-227,9,13,-3,-1,-6,-1,-17,-4,59,33
60N,149W,1980,8,9,24,-33,-3,7,4,2,-7,-11,8,-94
60N,149W,1981,36,48,-12,-4,-5,-2,7,-5,-11,16,3,25
60N,149W,1982,-53,-101,31,-12,-1,-2,2,-4,5,-15,20,-37
60N,149W,1983,-130,-50,-65,13,-6,-8,-5,-4,2,4,-11,33
60N,149W,1984,67,-55,-13,-4,-2,-5,-6,-5,-21,-20,14,77
60N,149W,1985,62,-2,26,-11,1,-7,-3,1,10,0,31,12
