"","pink.sst","chum.sst","sock.sst","chin.sst","coho.sst","win.sst","win3"
"1950",7.44851854112413,11.2077778710259,NA,9.22083334128062,10.4216667016347,NA,NA
"1951",7.90222220950657,12.1544444825914,6.84777779049343,10.0541667143504,11.4066666762034,5.70266663233439,NA
"1952",7.788148244222,11.6488890118069,6.86574079372265,9.93166673183441,11.0233334700267,5.68000005086263,5.72066669464111
"1953",8.26962967272158,12.6377778583103,7.07888892844871,10.5150000254313,11.8475000858307,5.77933340072632,5.70600006315443
"1954",8.27999996255945,13.0577777226766,7.27166666807952,10.6049998998642,12.222499926885,5.65866673787435,5.90133337444729
"1955",8.02925929316768,11.8055556615194,6.91555558310615,9.95333337783813,11.0575000445048,6.26599998474121,5.84377779430813
"1956",8.25259252830788,12.3944442537096,7.01777774316293,10.5058332284292,11.6908331712087,5.60666666030884,5.73066667980618
"1957",8.56222219820376,13.2644443511963,7.67814811953792,11.1533332268397,12.5233332316081,5.31933339436849,5.89111110899183
"1958",8.76666664194178,12.5266666412354,7.41851854324341,10.8191666603088,11.9541666507721,6.74733327229818,6.00888890160455
"1959",8.52814819194652,12.4866666793823,7.4166666843273,10.7558333873749,11.9491666952769,5.96000003814697,6.2424444410536
"1960",8.2340740804319,12.2088889016045,7.15925929281447,10.500833272934,11.6066666444143,6.02000001271566,5.90266670650906
"1961",8.55592593440303,12.5477778116862,7.17796295660513,11.1158332427343,11.9950000445048,5.72800006866455,5.73911112679376
"1962",8.21518516540527,12.5355556276109,7.14925926702994,10.5816666682561,11.8016666571299,5.46933329900106,5.71400003433228
"1963",8.36629627369068,12.5355555216471,7.38944444832978,10.4841665824254,11.7949999173482,5.94466673533122,5.97422225740221
"1964",8.11925928680985,11.7055557039049,6.84537042511834,9.93166673183441,11.175833384196,6.50866673787435,5.87600005467733
"1965",7.39000004309195,11.5211111704508,6.73351853865164,9.20250002543131,10.7050000826518,5.17466669082642,5.78577781253391
"1966",7.68777781945688,11.6288889778985,6.65685187445747,9.68083341916402,10.9375000794729,5.67400000890096,5.45822224087185
"1967",8.31296288525617,12.6044442918566,7.17537032233344,10.7858331998189,11.9058331648509,5.52600002288818,5.68422222137451
"1968",8.40518524028637,12.8488891389635,6.94500003479145,10.8725001017253,12.2250001430511,5.85266663233439,5.48733332422044
"1969",7.60518512902436,11.8277776506212,6.89925920963287,9.83999995390574,11.1174999078115,5.08333331743876,5.66133331192864
"1970",7.92814807538633,11.4422220653958,6.80277774069044,9.699999888738,10.8141664663951,6.04799998601278,5.57844443321228
"1971",7.21259258411549,11.0533332824707,6.28574073314667,9.05583337942759,10.2666666507721,5.6039999961853,5.52022221353319
"1972",7.13222221974973,11.2000000211928,6.2129629585478,9.20750002066294,10.3850000301997,4.90866665840149,5.19422222243415
"1973",7.30999999576145,11.0977777904934,6.38574074374305,9.39083333810171,10.5366667111715,5.07000001271566,5.12822221650018
"1974",8.06037035694829,12.6144444147746,6.7925925872944,10.3458333015442,11.7516666253408,5.40599997838338,5.28711110221015
"1975",7.28407405923914,11.191111140781,6.39518516151993,9.05916663010915,10.3308333555857,5.38533331553141,5.34088886049059
"1976",7.6759259612472,11.9077777862549,6.7396296483499,9.83833340803782,11.1058333714803,5.23133328755697,5.47999997668796
"1977",8.5355555039865,12.9299999872843,7.18185181970949,10.7666666507721,12.279166618983,5.8233333269755,5.52911108864678
"1978",7.98444444161874,11.7966666751438,6.97759259188617,10.0341666142146,11.2125000158946,5.53266665140788,5.64533332188924
"1979",8.24148146311442,12.6966666115655,7.18037036613182,10.4150000015895,11.8708333174388,5.57999998728434,5.71733332739936
"1980",7.87888885427404,11.577777756585,6.94055553718849,9.92583326498667,10.9516665935516,6.03933334350586,5.8151111178928
"1981",8.79851851639924,13.0344443851047,7.49314813260679,11.3499999841054,12.5599999427795,5.82600002288818,5.97488888634576
"1982",7.79592593510946,11.3866667217678,7.00500002613774,9.61333334445953,10.7708333333333,6.05933329264323,6.00333331425985
"1983",8.79370376798842,12.8466668658786,7.57648151009171,11.1833333969116,12.2000002066294,6.12466662724813,6.16244441138373
"1984",8.77481481764052,12.7744443681505,7.60648148148148,11.1250000397364,12.215833346049,6.30333331425985,6.27377776039971
"1985",7.80962966989588,11.3877778583103,6.84314814320317,9.37500003973643,10.5783333778381,6.39333333969116,6.07444442113241
"1986",7.91259256998698,11.7900000678168,7.21759259259259,9.85333335399628,11.0491666793823,5.52666660944621,6.09466666115655
"1987",8.20111106943201,11.8299999237061,7.22259258340906,10.0149999459585,11.1499999364217,6.36400003433228,6.01955554750231
"1988",8.24666666101526,11.9144443935818,7.17962963492782,10.2966666221619,11.3174999554952,6.16799999872843,6.09488889906141
"1989",8.39111119729501,12.8877781762017,7.15166671187789,10.666666785876,12.071666876475,5.75266666412354,5.78866667217678
"1990",8.22000000211928,12.7277777989705,6.9655555177618,10.7158333857854,12.0525000095367,5.44533335367839,5.54711107677884
"1991",7.74555547149093,11.6999998092651,6.81425922888297,9.83166658878326,11.0083332061768,5.44333321253459,5.5393333223131
"1992",7.95629630265412,11.7266665564643,6.86499999187611,10.0841666857402,11.1058332920074,5.72933340072632,5.60488886303372
"1993",8.48259261802391,12.6744445164998,7.33500001165602,11.0683333873749,12.1641667683919,5.64199997584025,5.8300000084771
"1994",8.47777778130991,12.5499999788072,7.1168518419619,10.7700000603994,11.9508334000905,6.11866664886475,5.76955552630954
"1995",7.91407405005561,11.8688889609443,6.87166664335463,9.98000001907349,11.1775000095367,5.54799995422363,5.70711108313666
