# http://www.esrl.noaa.gov/psd/enso/mei/table.html
# MEI Index (last update: 8 October 2016)
#
# Bimonthly MEI values (in 1/1000 of standard deviations), starting with Dec1949/Jan1950, thru last
# month.  More information on the MEI can be found on the MEI homepage.
# Missing values are left blank.  Note that values can still change with each monthly update, even
# though such changes are typically smaller than +/-0.1.  All values are normalized for each bimonthly
# season so that the 44 values from 1950 to 1993 have an average of zero and a standard deviation of # "1".
# Responses to 'FAQs' can be found below this table:
YEAR    DECJAN  JANFEB  FEBMAR  MARAPR  APRMAY  MAYJUN  JUNJUL  JULAUG  AUGSEP  SEPOCT  OCTNOV  NOVDEC
1950	-1.043	-1.162	-1.312	-1.104	-1.433	-1.391	-1.296	-1.053	-.634	-.424	-1.171	-1.263
1951	-1.078	-1.189	-1.222	-.523	-.36	.349	.666	.829	.743	.731	.709	.477
1952	.421	.136	.063	.22	-.309	-.723	-.316	-.378	.313	.274	-.359	-.132
1953	.032	.385	.256	.682	.784	.218	.368	.213	.501	.078	.063	.316
1954	-.044	-.032	.162	-.567	-1.416	-1.564	-1.378	-1.471	-1.166	-1.361	-1.139	-1.114
1955	-.766	-.698	-1.152	-1.634	-1.642	-2.243	-1.998	-2.073	-1.823	-1.767	-1.852	-1.879
1956	-1.447	-1.323	-1.413	-1.132	-1.317	-1.502	-1.259	-1.131	-1.359	-1.469	-1.058	-1.04
1957	-.944	-.364	.134	.353	.866	.769	.908	1.148	1.125	1.077	1.122	1.24
1958	1.474	1.442	1.32	1.013	.719	.864	.693	.427	.188	.202	.468	.67
1959	.549	.788	.496	.197	.013	-.018	-.134	.114	.105	-.067	-.176	-.255
1960	-.297	-.257	-.094	-.019	-.335	-.254	-.34	-.251	-.465	-.363	-.341	-.438
1961	-.167	-.261	-.097	0	-.288	-.137	-.216	-.304	-.301	-.526	-.44	-.634
1962	-1.082	-.988	-.724	-1.039	-.91	-.852	-.701	-.543	-.551	-.676	-.625	-.506
1963	-.73	-.861	-.69	-.792	-.477	-.087	.401	.597	.75	.817	.843	.739
1964	.867	.465	-.269	-.563	-1.242	-1.115	-1.405	-1.503	-1.311	-1.225	-1.242	-.945
1965	-.554	-.349	-.276	.053	.49	.915	1.36	1.443	1.406	1.217	1.355	1.253
1966	1.305	1.178	.678	.528	-.152	-.168	-.136	.155	-.085	-.035	.007	-.198
1967	-.474	-.924	-1.068	-1.059	-.455	-.266	-.521	-.395	-.621	-.686	-.425	-.378
1968	-.622	-.74	-.629	-.965	-1.095	-.771	-.527	-.102	.22	.426	.59	.35
1969	.664	.844	.452	.623	.696	.82	.467	.218	.177	.508	.67	.392
1970	.367	.411	.215	-.023	-.126	-.659	-1.089	-1.016	-1.252	-1.091	-1.078	-1.224
1971	-1.221	-1.521	-1.807	-1.888	-1.464	-1.448	-1.23	-1.225	-1.46	-1.424	-1.33	-.998
1972	-.595	-.422	-.262	-.196	.464	1.069	1.827	1.821	1.558	1.651	1.747	1.761
1973	1.72	1.497	.845	.481	-.106	-.769	-1.081	-1.347	-1.727	-1.671	-1.496	-1.844
1974	-1.934	-1.793	-1.76	-1.673	-1.077	-.67	-.769	-.671	-.627	-1.053	-1.243	-.906
